"word","id"
"sleeve",7408
"sleeve",9170
"sleeve",36789
"sleeve",38833
"sleeve",40824
"sleeve",49068
"sleeveless",7303
"sleeveless",10251
"sleeveless",16787
"sleeveless",18041
"sleeveless",32126
"sleeveless",39290
"sleeves",17299
"sleevless",21814
"small",24108
"small",38833
"snake",28612
"snakeprint",17299
"sneaker",27401
"split",40824
"spring",36613
"spring",37708
"statement",18429
"strap",28612
"strapless",37015
"strappy",46961
"stretch",3167
"stretch",16735
"stretch",33390
"stripe",27501
"striped",12828
"striped",18429
"striped",20100
"striped",36715
"striped",49099
"structured",2783
"stunning",50254
"suede",1115
"suede",49431
"summer",13794
"sun",14524
"sunbust",31858
"sunglasses",31890
"sunset",16735
"sweater",3167
"sweater",7178
"sweater",12297
"sweater",21024
"sweater",21671
"sweater",26296
"sweater",38833
"sweater",43316
"sweater",49989
"sweater",50664
"sweaters",34728
"sweatshirt",41799
"sz",4683
"sz",18429
"sz",31858
"sz",34197
"sz",37102
"sz",37708
"sz14",34171
"tall",49431
"tan",12828
"tank",13794
"tank",20100
"tank",50664
"tealblue",38038
"thong",33390
"tie",7297
"top",2237
"top",3167
"top",12297
"top",16787
"top",20091
"top",20100
"top",20822
"top",29908
"top",39290
"top",41240
"top",46426
"top",49363
"top",49659
"top",50524
"top",50664
"tote",26733
"tote",45435
"trench",2906
"tried",42586
"tshirt",31629
"tunic",16735
"tunic",26296
"tunic",39290
"tunic",45029
"turquoise",7303
"turtleneck",21024
"turtleneck",21671
"tweed",14993
"tweed",36613
"underwear",4827
"underwear",33390
"underwear",34197
"up",41914
"vintage",1671
"vintage",7509
"vintage",29908
"vintage",31185
"vneck",18429
"vneck",27259
"waist",18418
"waisted",7509
"waisted",31185
"wallet",38834
"wash",30106
"washed",33452
"wedge",1115
"white",7297
"white",11768
"white",12828
"white",14524
"white",27751
"white",32126
"white",34048
"white",36715
"white",49363
"with",49061
"womens",2237
"womens",13686
"womens",18418
"womens",22037
"womens",27401
"womens",34197
"womens",34728
"womens",46426
"womens",49882
"wool",48088
"workout",6622
"workout",22037
"wpurchase",50664
"wrap",17299
"wrap",36789
"xl",12828
"xl",29992
"xl",32126
"xs",2906
"zip",38038
"zip",41914
